Game,TotalWinPct,TotalWins,TotalLosses,Rank,DruidWin,DruidLoss,DruidWinPct,HunterWin,HunterLoss,HunterWinPct,MageWin,MageLoss,MageWinPct,PaladinWin,PaladinLoss,PaladinWinPct,PriestWin,PriestLoss,PriestWinPct,RogueWin,RogueLoss,RogueWinPct,ShamanWin,ShamanLoss,ShamanWinPct,WarlockWin,WarlockLoss,WarlockWinPct,WarriorWin,WarriorLoss,WarriorWinPct,DruidMetaPct,HunterMetaPct,MageMetaPct,PaladinMetaPct,PriestMetaPct,RogueMetaPct,ShamanMetaPct,WarlockMetaPct,WarriorMetaPct
155,0.535483871,83,72,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,1,,0.684210526,,,0.5,,,0.461538462,,,0.571428571,,,0.535714286,0.038709677,0.012903226,0.103225807,0.038709677,0.122580645,0.116129032,0.251612903,0.135483871,0.180645161
156,0.532051282,83,73,10.5,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.684210526,,,0.5,,1,0.45,,,0.571428571,,,0.535714286,0.038461538,0.012820513,0.102564103,0.038461538,0.121794872,0.115384615,0.256410256,0.134615385,0.17948718
157,0.535031847,84,73,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.684210526,,,0.5,1,,0.463414634,,,0.571428571,,,0.535714286,0.038216561,0.012738854,0.101910828,0.038216561,0.121019108,0.114649682,0.261146497,0.133757962,0.178343949
158,0.537974684,85,73,10.5,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.684210526,,,0.5,1,,0.476190476,,,0.571428571,,,0.535714286,0.037974684,0.012658228,0.101265823,0.037974684,0.120253165,0.113924051,0.265822785,0.132911392,0.17721519
159,0.534591195,85,74,9.1,,,0.833333333,,,1,,,0.5,,,0.166666667,,1,0.65,,,0.5,,,0.476190476,,,0.571428571,,,0.535714286,0.037735849,0.012578616,0.100628931,0.037735849,0.125786164,0.113207547,0.264150943,0.132075472,0.176100629
160,0.5375,86,74,9,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.5,1,,0.488372093,,,0.571428571,,,0.535714286,0.0375,0.0125,0.1,0.0375,0.125,0.1125,0.26875,0.13125,0.175
161,0.534161491,86,75,9.1,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.5,,,0.488372093,,1,0.545454546,,,0.535714286,0.037267081,0.01242236,0.099378882,0.037267081,0.124223603,0.111801242,0.267080745,0.136645963,0.173913044
162,0.530864198,86,76,9,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.5,,1,0.477272727,,,0.545454546,,,0.535714286,0.037037037,0.012345679,0.098765432,0.037037037,0.12345679,0.111111111,0.271604938,0.135802469,0.172839506
163,0.527607362,86,77,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.5,,,0.477272727,,,0.545454546,,1,0.517241379,0.036809816,0.012269939,0.098159509,0.036809816,0.122699387,0.110429448,0.26993865,0.134969325,0.17791411
164,0.524390244,86,78,10.3,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.5,,,0.477272727,,,0.545454546,,1,0.5,0.036585366,0.012195122,0.097560976,0.036585366,0.12195122,0.109756098,0.268292683,0.134146342,0.182926829
165,0.527272727,87,78,10.2,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.5,,,0.477272727,1,,0.565217391,,,0.5,0.036363636,0.012121212,0.096969697,0.036363636,0.121212121,0.109090909,0.266666667,0.139393939,0.181818182
166,0.530120482,88,78,10.3,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.5,,,0.477272727,1,,0.583333333,,,0.5,0.036144578,0.012048193,0.096385542,0.036144578,0.120481928,0.108433735,0.265060241,0.144578313,0.180722892
167,0.532934132,89,78,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,1,,0.52631579,,,0.477272727,,,0.583333333,,,0.5,0.035928144,0.011976048,0.095808383,0.035928144,0.119760479,0.113772455,0.263473054,0.143712575,0.179640719
168,0.535714286,90,78,9.1,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,1,,0.55,,,0.477272727,,,0.583333333,,,0.5,0.035714286,0.011904762,0.095238095,0.035714286,0.119047619,0.119047619,0.261904762,0.142857143,0.178571429
169,0.532544379,90,79,9.3,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.55,,1,0.466666667,,,0.583333333,,,0.5,0.035502959,0.01183432,0.094674556,0.035502959,0.118343195,0.118343195,0.266272189,0.142011834,0.177514793
170,0.535294118,91,79,9.2,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.55,1,,0.47826087,,,0.583333333,,,0.5,0.035294118,0.011764706,0.094117647,0.035294118,0.117647059,0.117647059,0.270588235,0.141176471,0.176470588
171,0.532163743,91,80,9.3,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.65,,,0.55,,,0.47826087,,,0.583333333,,1,0.483870968,0.035087719,0.011695906,0.093567251,0.035087719,0.116959064,0.116959064,0.269005848,0.140350877,0.18128655
